"","Plot","Year","Tag","Species","DBH","RingWidth","Core","BAI","Genus","Precip","Temp","FireCount","LastBurn","SinceBurn","BurnIn3"
"1","A128",2009,"24","QUAL",89.8,2.35,"024-A-1",6428.4346444034,"QU",95.1233333333333,20.4,7,2007,2,3
"2","A128",2015,"24","QUAL",89.8,2.198,"024-B-1",6138.53400353325,"QU",138.086666666667,21.2,7,2015,0,3
"3","A128",2012,"24","QUAL",89.8,1.182,"024-A-1",3278.30496410506,"QU",66.03,23.4666666666667,7,2012,0,1
"4","A128",2004,"24","QUAL",89.8,2.207,"024-A-1",5889.06796918541,"QU",104.996666666667,20.8,7,1994,10,0
"5","A128",2014,"24","QUAL",89.8,1.551,"024-A-1",4328.74407238608,"QU",166.476666666667,21.7,7,2013,1,2
"6","A128",2004,"24","QUAL",89.8,1.819,"024-B-1",4863.45948459218,"QU",104.996666666667,20.8,7,1994,10,0
"7","A128",2006,"24","QUAL",89.8,1.804,"024-B-1",4861.30879110225,"QU",93.5633333333333,22.7,7,2006,0,1
"8","A128",2014,"24","QUAL",89.8,1.863,"024-B-1",5179.18399194209,"QU",166.476666666667,21.7,7,2013,1,2
"9","A128",2001,"24","QUAL",89.8,1.459,"024-A-1",3841.57940446109,"QU",83.6233333333333,22.8333333333333,7,1991,10,0
"10","A128",2011,"24","QUAL",89.8,2.331,"024-A-1",6439.35776413968,"QU",129.293333333333,23.1333333333333,7,2007,4,0
"11","A128",2002,"24","QUAL",89.8,2.205,"024-B-1",5847.65433243643,"QU",104.563333333333,23.8333333333333,7,1992,10,0
"12","A128",2012,"24","QUAL",89.8,0.915,"024-B-1",2526.48576090918,"QU",66.03,23.4666666666667,7,2012,0,1
"13","A128",2008,"24","QUAL",89.8,2.861,"024-A-1",7779.44027025994,"QU",91.46,21.7666666666667,7,2007,1,3
"14","A128",2000,"24","QUAL",89.8,1.908,"024-A-1",5003.62404415045,"QU",112.43,21.9,7,1990,10,0
"15","A128",2011,"24","QUAL",89.8,2.116,"024-B-1",5822.52199019009,"QU",129.293333333333,23.1333333333333,7,2007,4,0
"16","A128",2003,"24","QUAL",89.8,1.495,"024-A-1",3971.80935897795,"QU",93.34,21.6666666666667,7,1993,10,0
"17","A128",2017,"24","QUAL",89.8,0.942,"024-A-1",2654.73575493061,"QU",84.93,21.5,7,2017,0,2
"18","A128",2005,"24","QUAL",89.8,1.537,"024-B-1",4125.68108626607,"QU",55.1233333333333,23.9,7,1995,10,0
